<Nodes>
Symbol	Address	x	y
A	1121 N Bend Rd.	263	147
B	1521 Grassland Ave.	110	129
C	22 Main St.	155	213
D	44 W Lexington Ave.	244	273
E	4423 Walnut St.	275	69
F	1616 Levington Blvd.	165	291
G	2402 N Bend Rd.	196	153
H	33 Holden Ave.	27	80
I	3411 Walnut St.	369	65
J	44 Kirkland Dr.	81	308
K	14 Pepper Ave.	110	32
L	3311 N Bend Rd.	37	175
M	15 Goodman Dr.	136	384
N	510 Lake St.	229	366
O	1600 N Bend Rd.	341	151
P	55 Main St.	247	213
Q	5500 Walnut St.	188	70
R	11 Savannah Dr.	82	231
S	20  Hopper Blvd.	320	329
T	9810 Miami Blvd.	335	235
</Nodes>
<Edges>
Source	Destination	TimeCost	DistanceCost	NumStops
A	C	4	8	3
A	Q	3	6	4
A	T	5	10	2
B	G	6	12	4
B	H	8	16	6
B	Q	2	16	4
B	R	5	10	2
C	D	2	4	6
C	J	8	16	4
C	L	8	16	0
D	F	4	8	0
D	N	7	14	1
D	T	1	4	5
E	G	8	5	0
E	I	7	14	3
E	O	4	8	6
E	Q	3	6	3
F	M	10	20	1
F	R	6	16	5
G	D	1	60	8
H	K	6	12	2
H	L	2	5	1
I	E	5	14	2
J	C	7	16	2
K	H	4	12	3
L	C	2	16	5
L	H	1	5	2
M	F	6	20	4
N	S	4	8	2
O	E	7	8	4
O	P	4	8	3
P	C	4	8	2
P	F	8	4	4
P	O	3	8	2
P	T	7	14	2
Q	B	8	16	6
R	F	8	16	2
S	D	3	6	4
S	T	6	9	5
T	D	2	4	4
T	S	4	9	5
</Edges>
